area,perimeter,circularity,aspect_ratio,solidity,equivalent_diameter,extent,convex_area,rectangularity,compactness,eccentricity,hu_moment_1,hu_moment_2,label
683.0,102.08326041698456,0.8236097947645967,1.52,0.9715504978662873,29.489364337912,0.7189473684210527,703.0,0.7189473684210527,15.25767504738197,0.7491973263010404,0.1745039367516963,0.004950819221353415,arabika
682.0,101.59797894954681,0.8302790908944224,0.6486486486486487,0.9770773638968482,29.467768315727287,0.7680180180180181,698.0,0.7680180180180181,15.135116314710496,0.7409718566630525,0.17444356955117835,0.004953141201477756,arabika
690.0,101.74011409282684,0.8376729936270997,1.0,0.9759547383309759,29.640095915284455,0.673828125,707.0,0.673828125,15.00152292119047,0.7440991846708412,0.17323371201397597,0.004564797794837613,arabika
684.5,102.66904675960541,0.8160264895814534,1.52,0.9654442877291961,29.521728749706018,0.7205263157894737,709.0,0.7205263157894737,15.399464079658205,0.7567181819650348,0.17538258430197423,0.0052429346579136666,arabika
696.5,102.8111822605133,0.828038020040373,1.0625,0.9720865317515701,29.77937781264143,0.6401654411764706,716.5,0.6401654411764706,15.176079250257699,0.7402128654060272,0.17281647324102242,0.004421881991076025,arabika
714.5,102.6690468788147,0.8517909794769681,0.7027027027027027,0.9754266211604096,30.161724995650925,0.7427234927234927,732.5,0.7427234927234927,14.752880597626662,0.6831141051893048,0.16891430436376298,0.003019035517761674,arabika
710.0,101.39696872234344,0.8677972488319,1.03125,0.9826989619377162,30.066594033278285,0.6723484848484849,722.5,0.6723484848484849,14.48076798039422,0.7099674187697517,0.1686935284035604,0.0029923157336622357,arabika
710.0,102.42640614509583,0.8504413008605597,1.3846153846153846,0.9746053534660261,30.066594033278285,0.7585470085470085,728.5,0.7585470085470085,14.776293909577639,0.6928148659518577,0.16989557917718864,0.003345450750339146,arabika
711.5,103.1543276309967,0.8402525964858866,0.9117647058823529,0.9746575342465753,30.098337762724842,0.6750474383301708,730.0,0.6750474383301708,14.955467756855953,0.7118419199160874,0.16895480130346158,0.003058310323000159,arabika
710.0,102.42640614509583,0.8504413008605597,1.3846153846153846,0.9739368998628258,30.066594033278285,0.7585470085470085,729.0,0.7585470085470085,14.776293909577639,0.6998406619709594,0.1693342534099842,0.003136011169452601,arabika
712.0,102.08326005935669,0.8585800556092673,1.1,0.9807162534435262,30.10891156869401,0.7191919191919192,726.0,0.7191919191919192,14.636224697115518,0.7164054210355172,0.16862378482085572,0.0029700095820058173,arabika
601.0,94.76955211162567,0.8409045062428939,0.6285714285714286,0.9844389844389845,27.66255531193445,0.7805194805194805,610.5,0.7805194805194805,14.94387355646944,0.7582708662816556,0.177184299321143,0.005916533311138589,arabika
